상품명,가격,사진
[매장픽업] 케이머스 카버네 소비뇽 750ML (레드와인),"178,200",sitem.ssgcdn.com/67/52/73/item/1000289735267_i1_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 브뤼 그랑 리저브,"49,500",sitem.ssgcdn.com/27/33/79/item/1000044793327_i1_232.jpg
[매장픽업]뿌삐유 (레드와인),"45,000",sitem.ssgcdn.com/18/82/00/item/1000051008218_i1_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 실버 브뤼,"49,500",sitem.ssgcdn.com/38/29/79/item/1000044792938_i1_232.jpg
"[매장픽업] 텍스트북, 나파 메를로","58,500",sitem.ssgcdn.com/32/23/97/item/1000048972332_i1_232.jpg
[매장픽업]  텍스트북 배럴티프 까베르네소비뇽,"76,500",sitem.ssgcdn.com/30/76/96/item/1000043967630_i1_232.jpg
[매장픽업]  몰리두커 투 레프트 핏,"53,100",sitem.ssgcdn.com/78/59/96/item/1000043965978_i1_232.jpg
"피오 체사레, 바롤로","216,000",sitem.ssgcdn.com/40/22/16/item/1000328162240_i1_232.jpg
"[매장픽업] 그라함, 20년 토니 포트 (포트와인)","150,000",sitem.ssgcdn.com/30/76/36/item/1000049367630_i1_232.jpg
[매장픽업]피치니 메모로 루즈 (레드와인),"13,000",sitem.ssgcdn.com/30/76/36/item/1000049367630_i2_232.jpg
안젤리카 자파타 까베르네 소비뇽,"81,000",sitem.ssgcdn.com/11/96/79/item/1000044799611_i1_232.jpg
[매장픽업]  몰리두커 더 메이터 디,"53,100",sitem.ssgcdn.com/89/02/55/item/1000327550289_i1_232.jpg
[매장픽업] 세르 라포 끼안띠 클라시코 리제르바 (레드와인),"45,000",sitem.ssgcdn.com/93/89/95/item/1000043958993_i1_232.jpg
[매장픽업] 필리프  (레드와인),"63,000",sitem.ssgcdn.com/67/84/85/item/1000043858467_i1_232.jpg
[매장픽업]투핸즈 엔젤스쉐어 (레드와인),"43,000",sitem.ssgcdn.com/67/84/85/item/1000043858467_i2_232.jpg
"[매장픽업] 그라함, 10년 토니 포트 (포트와인)","75,000",sitem.ssgcdn.com/12/98/85/item/1000043859812_i1_232.jpg
"까사 로호, 마초맨","49,500",sitem.ssgcdn.com/12/98/85/item/1000043859812_i2_232.jpg
"[매장픽업] 파스쿠아, 진 프리미티보 (레드와인)","37,800",sitem.ssgcdn.com/78/39/79/item/1000044793978_i1_232.jpg
[매장픽업]  찰스 하이직 블랑 데 밀레네르 2006,"780,000",sitem.ssgcdn.com/36/66/36/item/1000049366636_i1_232.jpg
톨라이니 끼안티 클라시코 그란 셀레지오네 DOCG,"49,500",sitem.ssgcdn.com/36/66/36/item/1000049366636_i2_232.jpg
"[매장픽업] 파스쿠아, 프리잔떼 돌체 스윗 로제 (스파클링와인)","45,900",sitem.ssgcdn.com/44/52/54/item/1000280545244_i1_232.jpg
[매장픽업] 덕혼 디코이 카버네 소비뇽 750ML (레드와인),"87,300",sitem.ssgcdn.com/57/05/32/item/1000057320557_i1_232.jpg
689 레드 나파 밸리,"32,400",sitem.ssgcdn.com/57/05/32/item/1000057320557_i2_232.jpg
[매장픽업] 멧츠로드 샤도네이,"45,000",sitem.ssgcdn.com/41/46/55/item/1000059554641_i1_232.jpg
"피오 체사레, 바르바레스코","216,000",sitem.ssgcdn.com/41/46/55/item/1000059554641_i2_232.jpg
푸나무 소비뇽 블랑,"28,800",sitem.ssgcdn.com/93/71/55/item/1000327557193_i1_232.jpg
[매장픽업] 로 조콜라이오 바롤로 DOCG,"52,200",sitem.ssgcdn.com/47/81/39/item/1000049398147_i1_232.jpg
[매장픽업] 샤또 테이시에 쌩떼밀리옹 그랑크뤼,"40,500",sitem.ssgcdn.com/47/81/39/item/1000049398147_i2_232.jpg
[매장픽업] 몬텔레나 나파 밸리 샤도네이 750ML (화이트 와인),"189,000",sitem.ssgcdn.com/64/93/64/item/1000289649364_i1_232.jpg
[매장픽업] 샹파뉴 로칠드 브뤼 750ML (샴페인),"189,000",sitem.ssgcdn.com/46/23/46/item/1000318462346_i1_232.jpg
[매장픽업] 샴페인 트리보 브뤼 오리진 750ML (샴페인),"94,500",sitem.ssgcdn.com/16/30/43/item/1000051433016_i1_232.jpg
[매장픽업]플라네타 플럼바고 (레드와인),"21,600",sitem.ssgcdn.com/16/30/43/item/1000051433016_i2_232.jpg
[매장픽업] 마르셀 다이스 리보빌레,"40,500",sitem.ssgcdn.com/46/70/17/item/1000328177046_i1_232.jpg
[매장픽업]파이퍼하이직 빈티지(스파클링와인),"135,000",sitem.ssgcdn.com/81/28/96/item/1000164962881_i1_232.jpg
"피오 체사레, 바르바레스코 일 브리꼬","288,000",sitem.ssgcdn.com/91/31/00/item/1000260003191_i1_232.jpg
[매장픽업] 머드하우스 소비뇽 블랑 (화이트와인),"24,300",sitem.ssgcdn.com/65/84/74/item/1000063748465_i1_232.jpg
[매장픽업] 미켈레 끼아를로 바롤로 체레퀴오,"144,000",sitem.ssgcdn.com/80/53/86/item/1000063865380_i1_232.jpg
[매장픽업] 돈나푸가타 벤 리에 375ML (화이트와인),"102,600",sitem.ssgcdn.com/13/04/58/item/1000048580413_i1_232.jpg
"[매장픽업] 찰스 하이직, 로제 리저브 (샴페인)","280,000",sitem.ssgcdn.com/15/97/01/item/1000072019715_i1_232.jpg
비에티 바르베라 다스티 750ML (레드와인),"45,000",sitem.ssgcdn.com/94/99/79/item/1000044799994_i1_232.jpg
"텍스트북, 나파 샤도네이","100,800",sitem.ssgcdn.com/16/34/01/item/1000260013416_i1_232.jpg
[매장픽업] 비에티 모스카토 다스티  750ML (스위트스파클링와인),"37,800",sitem.ssgcdn.com/27/64/95/item/1000043956427_i1_232.jpg
[매장픽업] 끌로 드 로스 씨에떼 (레드와인),"45,000",sitem.ssgcdn.com/27/64/95/item/1000043956427_i2_232.jpg
[매장픽업]  더 피노 프로젝트,"36,000",sitem.ssgcdn.com/42/35/23/item/1000328233542_i1_232.jpg
[매장픽업] F 네그로아마로,"180,000",sitem.ssgcdn.com/59/31/85/item/1000043853159_i1_232.jpg
[매장픽업] 제라르 베르트랑 떼루아르 꼬르비에르 (레드와인),"22,500",sitem.ssgcdn.com/59/31/85/item/1000043853159_i2_232.jpg
"[매장픽업] 마이클 몬다비 패밀리, `스펠바운드` 샤도네이","34,200",sitem.ssgcdn.com/55/52/22/item/1000064225255_i1_232.jpg
[매장픽업]코노수르 싱글빈야드 시라 (레드와인),"27,000",sitem.ssgcdn.com/52/95/64/item/1000294649552_i1_232.jpg
멧츠로드 피노누아,"45,000",sitem.ssgcdn.com/88/03/18/item/1000051180388_i1_232.jpg
[매장픽업] 메디치 에르메테 콘체르토 (스파클링와인),"31,500",sitem.ssgcdn.com/88/03/18/item/1000051180388_i2_232.jpg
[매장픽업] 몬테스 알파 카버네 소비뇽 750ML (레드 와인),"44,100",sitem.ssgcdn.com/70/06/85/item/1000043850670_i1_232.jpg
[매장픽업] 폴 자불레 꼬뜨 뒤 론 빠할레45 루즈 750ML (레드와인),"29,700",sitem.ssgcdn.com/21/31/10/item/1000328103121_i1_232.jpg
샤토 생 미셸 컬럼비아 밸리 까.쇼 50주년,"60,000",sitem.ssgcdn.com/36/59/03/item/1000045035936_i1_232.jpg
[매장픽업] 메이오미 피노누아 750ML (레드와인),"81,000",sitem.ssgcdn.com/08/87/85/item/1000043858708_i1_232.jpg
[매장픽업] 베린저 메인앤바인 메를로,"16,200",sitem.ssgcdn.com/08/87/85/item/1000043858708_i2_232.jpg
[매장픽업]  샤를르 드 까자노브 로제,"40,500",sitem.ssgcdn.com/94/58/95/item/1000043955894_i1_232.jpg
[매장픽업] 빈도로 프리미티보 디 만두리아,"126,000",sitem.ssgcdn.com/21/12/62/item/1000070621221_i1_232.jpg
"텍스트북, 나파 소비뇽 블랑","88,200",sitem.ssgcdn.com/92/84/63/item/1000045638492_i1_232.jpg
[매장픽업] 자불레 지공다스 삐에르 애기 750ML (레드와인),"38,700",sitem.ssgcdn.com/21/02/75/item/1000063750221_i1_232.jpg
"쓰리 스틱스, `갭스 크라운` 샤도네이","99,000",sitem.ssgcdn.com/59/83/79/item/1000044798359_i1_232.jpg
샤또 깡뜨메를르 2017,"63,000",sitem.ssgcdn.com/44/28/43/item/1000051432844_i1_232.jpg
[매장픽업] 베린저 브로스 카베르네 소비뇽,"67,500",sitem.ssgcdn.com/44/28/43/item/1000051432844_i2_232.jpg
[매장픽업] 자불레 크로제 에르미타쥬 레 잘레 750ML (레드와인),"34,200",sitem.ssgcdn.com/77/65/85/item/1000043856577_i1_232.jpg
서브미션 레드블렌드,"26,100",sitem.ssgcdn.com/77/65/85/item/1000043856577_i2_232.jpg
플라네타 샤도네이,"49,500",sitem.ssgcdn.com/87/32/00/item/1000072003287_i1_232.jpg
"[매장픽업] 리카솔리 1141, 브롤리오CC 375ml (레드와인)","18,000",sitem.ssgcdn.com/37/34/78/item/1000055783437_i1_232.jpg
"[매장픽업] 다우 10년 토니 포트 750ML (레드와인,포트와인)","69,300",sitem.ssgcdn.com/71/29/13/item/1000104132971_i1_232.jpg
"[매장픽업]  에밀리아나, 코얌 (레드와인)","55,000",sitem.ssgcdn.com/35/45/86/item/1000043864535_i1_232.jpg
루이 로드레 컬렉션 242,"137,940",sitem.ssgcdn.com/79/35/36/item/1000064363579_i1_232.jpg
에고메이,"25,200",sitem.ssgcdn.com/30/51/19/item/1000043195130_i1_232.jpg
[매장픽업]투핸즈 섹시 비스트 (레드와인),"43,000",sitem.ssgcdn.com/53/70/57/item/1000065577053_i1_232.jpg
프레스코발디 니포짜노 끼안티 리제르바,"34,200",sitem.ssgcdn.com/54/77/10/item/1000328107754_i1_232.jpg
"[매장픽업] 찰스 하이직, 브륏 리저브 375ml (샴페인)","72,000",sitem.ssgcdn.com/17/49/58/item/1000048584917_i1_232.jpg
[매장픽업]투핸즈 벨라스 가든 (레드와인),"99,000",sitem.ssgcdn.com/13/76/55/item/1000169557613_i1_232.jpg
[매장픽업] 슐로스 요하니스베르그 겔블락 쿠베아 (화이트와인),"45,000",sitem.ssgcdn.com/60/83/57/item/1000289578360_i1_232.jpg
"피오 체사레, 바롤로 모스코니","432,000",sitem.ssgcdn.com/16/22/36/item/1000064362216_i1_232.jpg
"텍스트북, 나파 카베르네 소비뇽","100,800",sitem.ssgcdn.com/76/18/58/item/1000048581876_i1_232.jpg
[매장픽업] 찰스 하이직 로제 리저브  NV,"153,000",sitem.ssgcdn.com/76/18/58/item/1000048581876_i2_232.jpg
투핸즈 아레스,"240,000",sitem.ssgcdn.com/69/27/07/item/1000066072769_i1_232.jpg
루이나 블랑 드 블랑,"160,970",sitem.ssgcdn.com/06/29/08/item/1000066082906_i1_232.jpg
